"","STUDENT.IDENTIFIER","STDNT_AGE","STDNT_GENDER","STDNT_BACKGROUND","IN_STATE_FLAG","INTERNATIONAL_STS","STDNT_TEST_ENTRANCE_COMB","FIRST_TERM","CORE_COURSE_GRADE_1_F","CORE_COURSE_GRADE_2_F","CORE_COURSE_GRADE_3_F","SECOND_TERM","CORE_COURSE_GRADE_1_S","CORE_COURSE_GRADE_2_S","HOUSING_STS","RETURNED_2ND_YR","DISTANCE_FROM_HOME","HIGH_SCHL_GPA","FATHER_HI_EDU_DESC","MOTHER_HI_EDU_DESC","DEGREE_GROUP_DESC","FIRST_TERM_ATTEMPT_HRS","FIRST_TERM_EARNED_HRS","SECOND_TERM_ATTEMPT_HRS","SECOND_TERM_EARNED_HRS","GROSS_FIN_NEED","COST_OF_ATTEND","EST_FAM_CONTRIBUTION","UNMET_NEED","FIRST_TERM_HRS_PERCENTAGE","SECOND_TERM_HRS_PERCENTAGE"
"1768",7944539,"mid","F","BGD HIGH","Y","N",1030,200908,"Mid","High","High",201002,"Mid","High","Off Campus","0",69,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","high","high","low",1,0.733333333333333
"1769",7762683,"low","F","BGD HIGH","Y","N",1070,200508,"Mid","High","High",200602,"Mid","High","Off Campus","1",69,"mid","No Information","No Information","Bachelors","mid","high","high","high","low","low","low","low",1,1
"1770",7991029,"mid","F","BGD HIGH","Y","N",1260,200908,"Mid","High","Mid",201002,"Mid","High","On Campus","0",138,"low","College/Beyond","High School","Bachelors","mid","high","high","high","low","high","high","low",1,0.8
"1771",7912940,"mid","F","BGD MID","Y","N",830,200508,"Mid","High","High",200602,"Mid","High","On Campus","0",150,"high","College/Beyond","High School","Bachelors","mid","mid","high","high","mid","mid","low","mid",1,0.9375
"1772",7843790,"mid","M","BGD HIGH","Y","N",910,200508,"Mid","High","High",200602,"Mid","High","On Campus","1",90,"high","High School","High School","Bachelors","low","mid","high","high","mid","mid","low","mid",1,1
"1773",7764656,"mid","F","BGD HIGH","Y","N",1260,200508,"Mid","High","High",200602,"Mid","High","Off Campus","1",69,"mid","Middle School/Junior High","High School","Bachelors","high","high","high","low","low","low","low","low",1,0.230769230769231
"1774",7757185,"mid","F","BGD MID","Y","N",1030,200608,"Mid","High","High",200702,"Mid","High","Off Campus","1",59,"high","Other/Unknown","College/Beyond","Bachelors","mid","high","high","high","mid","mid","low","mid",1,0.75
"1775",7778181,"mid","F","BGD MID","Y","N",950,200608,"Mid","High","High",200702,"Mid","High","Off Campus","1",0,"low","High School","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,0.588235294117647
"1776",7757394,"mid","F","BGD MID","Y","N",1030,200808,"Mid","High","Mid",200902,"Mid","High","On Campus","1",150,"high","High School","College/Beyond","Bachelors","mid","mid","high","high","low","high","high","low",0.928571428571429,0.8125
"1777",7988981,"mid","M","BGD HIGH","Y","N",1220,201008,"Mid","High","High",201102,"Mid","High","Off Campus","1",69,"mid","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","mid","low","low",1,1
"1778",7968542,"mid","F","BGD MID","Y","N",690,201008,"Mid","High","High",201102,"Mid","High","Off Campus","1",0,"mid","High School","High School","Bachelors","low","mid","high","mid","low","low","low","low",1,0.461538461538462
"1779",7934215,"mid","F","BGD HIGH","Y","N",970,200508,"Mid","High","High",200602,"Mid","High","On Campus","1",150,"mid","No Information","No Information","Bachelors","mid","high","high","high","low","low","low","low",1,1
"1780",7837417,"mid","F","BGD MID","Y","N",970,201008,"Mid","High","High",201102,"Mid","High","On Campus","1",150,"high","High School","High School","Bachelors","low","mid","high","high","low","low","low","low",0.75,0.75
"1781",7815717,"mid","F","BGD HIGH","Y","N",910,200808,"Mid","High","High",200902,"Mid","High","Off Campus","1",69,"high","Middle School/Junior High","College/Beyond","Bachelors","mid","mid","high","high","low","low","low","low",0.8,1
"1782",8012776,"mid","M","BGD HIGH","Y","N",1150,200708,"Low","High","High",200802,"Mid","High","Off Campus","0",69,"high","Other/Unknown","Other/Unknown","Bachelors","high","high","high","high","high","high","low","high",1,0.714285714285714
"1783",7880654,"mid","F","BGD HIGH","N","N",830,200508,"Mid","Mid","Mid",200602,"Mid","High","Off Campus","1",69,"low","College/Beyond","College/Beyond","Bachelors","mid","mid","high","high","low","low","low","low",1,0.8
"1784",7799927,"low","F","BGD HIGH","N","N",1260,200908,"Mid","Mid","Mid",201002,"Mid","High","Off Campus","1",0,"low","High School","High School","Bachelors","mid","high","high","high","low","low","low","low",1,1
"1785",8026303,"mid","F","BGD HIGH","Y","N",950,200508,"Mid","Mid","High",200602,"Mid","High","Off Campus","1",69,"high","No Information","No Information","Bachelors","low","mid","high","high","low","mid","low","low",1,0.75
"1786",7782903,"mid","F","BGD MID","Y","N",790,200908,"Mid","Mid","High",201002,"Mid","High","Off Campus","1",69,"mid","High School","College/Beyond","Bachelors","mid","high","high","high","high","high","low","high",1,0.8125
"1787",7947803,"mid","F","BGD HIGH","Y","N",870,200908,"Mid","Mid","Mid",201002,"Mid","High","On Campus","1",90,"high","Other/Unknown","College/Beyond","Bachelors","mid","mid","high","high","low","high","high","low",0.733333333333333,0.769230769230769
"1788",7955474,"mid","F","BGD MID","N","N",1030,200908,"Mid","Mid","High",201002,"Mid","High","On Campus","0",188,"high","Middle School/Junior High","High School","Bachelors","mid","high","high","high","high","high","low","mid",1,1
"1789",7974437,"mid","F","BGD HIGH","Y","N",1030,200908,"Mid","Mid","High",201002,"Mid","High","On Campus","0",150,"high","High School","College/Beyond","Bachelors","mid","mid","high","high","low","high","high","low",1,1
"1790",7869106,"mid","M","BGD HIGH","Y","N",910,200608,"Mid","Mid","High",200702,"Mid","High","Off Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","low","mid","high","high","mid","high","mid","mid",1,0.75
