"","RETURNED_2ND_YR","levels","n","N","percentage","varNames"
"200",1,"SCHOOL 334",1,1,1,"HIGH_SCHL_NAME"
"201",1,"SCHOOL 335",1,1,1,"HIGH_SCHL_NAME"
"202",1,"SCHOOL 336",1,2,0.5,"HIGH_SCHL_NAME"
"203",1,"SCHOOL 337",2,3,0.666666666666667,"HIGH_SCHL_NAME"
"204",1,"SCHOOL 338",1,2,0.5,"HIGH_SCHL_NAME"
"205",1,"SCHOOL 339",2,3,0.666666666666667,"HIGH_SCHL_NAME"
"206",1,"SCHOOL 34",82,106,0.773584905660377,"HIGH_SCHL_NAME"
"207",1,"SCHOOL 340",1,1,1,"HIGH_SCHL_NAME"
"208",1,"SCHOOL 341",3,5,0.6,"HIGH_SCHL_NAME"
"209",1,"SCHOOL 342",1,1,1,"HIGH_SCHL_NAME"
"210",1,"SCHOOL 344",1,1,1,"HIGH_SCHL_NAME"
"211",1,"SCHOOL 347",2,2,1,"HIGH_SCHL_NAME"
"212",1,"SCHOOL 348",1,1,1,"HIGH_SCHL_NAME"
"213",1,"SCHOOL 35",2,2,1,"HIGH_SCHL_NAME"
"214",1,"SCHOOL 350",3,4,0.75,"HIGH_SCHL_NAME"
"215",1,"SCHOOL 354",1,2,0.5,"HIGH_SCHL_NAME"
"216",1,"SCHOOL 356",2,2,1,"HIGH_SCHL_NAME"
"217",1,"SCHOOL 357",2,2,1,"HIGH_SCHL_NAME"
"218",1,"SCHOOL 358",1,1,1,"HIGH_SCHL_NAME"
"219",1,"SCHOOL 359",1,1,1,"HIGH_SCHL_NAME"
"220",1,"SCHOOL 36",8,10,0.8,"HIGH_SCHL_NAME"
"221",1,"SCHOOL 363",1,1,1,"HIGH_SCHL_NAME"
"222",1,"SCHOOL 366",1,1,1,"HIGH_SCHL_NAME"
"223",1,"SCHOOL 367",8,8,1,"HIGH_SCHL_NAME"
"224",1,"SCHOOL 369",1,1,1,"HIGH_SCHL_NAME"
"225",1,"SCHOOL 37",4,4,1,"HIGH_SCHL_NAME"
"226",1,"SCHOOL 370",1,1,1,"HIGH_SCHL_NAME"
"227",1,"SCHOOL 372",1,2,0.5,"HIGH_SCHL_NAME"
"228",1,"SCHOOL 374",2,3,0.666666666666667,"HIGH_SCHL_NAME"
"229",1,"SCHOOL 375",1,1,1,"HIGH_SCHL_NAME"
"230",1,"SCHOOL 38",17,20,0.85,"HIGH_SCHL_NAME"
"231",1,"SCHOOL 381",1,2,0.5,"HIGH_SCHL_NAME"
"232",1,"SCHOOL 382",2,4,0.5,"HIGH_SCHL_NAME"
"233",1,"SCHOOL 386",1,1,1,"HIGH_SCHL_NAME"
"234",1,"SCHOOL 387",1,1,1,"HIGH_SCHL_NAME"
"235",1,"SCHOOL 388",1,1,1,"HIGH_SCHL_NAME"
"236",1,"SCHOOL 389",1,1,1,"HIGH_SCHL_NAME"
"237",1,"SCHOOL 39",1,1,1,"HIGH_SCHL_NAME"
"238",1,"SCHOOL 390",1,1,1,"HIGH_SCHL_NAME"
"239",1,"SCHOOL 394",2,3,0.666666666666667,"HIGH_SCHL_NAME"
"240",1,"SCHOOL 395",16,21,0.761904761904762,"HIGH_SCHL_NAME"
"241",1,"SCHOOL 397",1,1,1,"HIGH_SCHL_NAME"
"242",1,"SCHOOL 398",1,1,1,"HIGH_SCHL_NAME"
"243",1,"SCHOOL 399",5,5,1,"HIGH_SCHL_NAME"
"244",1,"SCHOOL 4",4,4,1,"HIGH_SCHL_NAME"
"245",1,"SCHOOL 40",2,2,1,"HIGH_SCHL_NAME"
"246",1,"SCHOOL 403",2,2,1,"HIGH_SCHL_NAME"
"247",1,"SCHOOL 409",1,1,1,"HIGH_SCHL_NAME"
"248",1,"SCHOOL 41",10,12,0.833333333333333,"HIGH_SCHL_NAME"
"249",1,"SCHOOL 410",6,6,1,"HIGH_SCHL_NAME"
"250",1,"SCHOOL 411",1,1,1,"HIGH_SCHL_NAME"
"251",1,"SCHOOL 412",1,1,1,"HIGH_SCHL_NAME"
"252",1,"SCHOOL 413",1,1,1,"HIGH_SCHL_NAME"
"253",1,"SCHOOL 415",1,1,1,"HIGH_SCHL_NAME"
"254",1,"SCHOOL 416",2,2,1,"HIGH_SCHL_NAME"
"255",1,"SCHOOL 418",1,1,1,"HIGH_SCHL_NAME"
"256",1,"SCHOOL 42",8,12,0.666666666666667,"HIGH_SCHL_NAME"
"257",1,"SCHOOL 420",1,1,1,"HIGH_SCHL_NAME"
"258",1,"SCHOOL 421",1,1,1,"HIGH_SCHL_NAME"
"259",1,"SCHOOL 422",3,3,1,"HIGH_SCHL_NAME"
"260",1,"SCHOOL 423",1,1,1,"HIGH_SCHL_NAME"
"261",1,"SCHOOL 424",2,2,1,"HIGH_SCHL_NAME"
"262",1,"SCHOOL 425",1,1,1,"HIGH_SCHL_NAME"
"263",1,"SCHOOL 428",2,3,0.666666666666667,"HIGH_SCHL_NAME"
"264",1,"SCHOOL 429",1,2,0.5,"HIGH_SCHL_NAME"
"265",1,"SCHOOL 43",14,16,0.875,"HIGH_SCHL_NAME"
"266",1,"SCHOOL 430",1,1,1,"HIGH_SCHL_NAME"
"267",1,"SCHOOL 431",3,4,0.75,"HIGH_SCHL_NAME"
"268",1,"SCHOOL 433",1,1,1,"HIGH_SCHL_NAME"
"269",1,"SCHOOL 434",2,2,1,"HIGH_SCHL_NAME"
"270",1,"SCHOOL 436",1,1,1,"HIGH_SCHL_NAME"
"271",1,"SCHOOL 437",1,1,1,"HIGH_SCHL_NAME"
"272",1,"SCHOOL 438",1,1,1,"HIGH_SCHL_NAME"
"273",1,"SCHOOL 44",18,20,0.9,"HIGH_SCHL_NAME"
"274",1,"SCHOOL 440",1,2,0.5,"HIGH_SCHL_NAME"
"275",1,"SCHOOL 441",1,1,1,"HIGH_SCHL_NAME"
